CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-01-0138-46,,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KM.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0139-46,,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KM 209.5 ENTRADA A LA CIUDAD,77367402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0140-46,,16-031,ALTA VERAPAZ,COBAN,"COLEGIO ""LA INMACULADA""",7A. AVENIDA 11-109 ZONA 6,78232301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0141-46,,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,79514215,NORA LILIANA FIGUEROA HERNÁNDEZ,HÉCTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0142-46,,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE 'EMILIO ROSALES PONCE',3A AVE 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0143-46,,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,57101061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIÑA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0155-46,,16-031,ALTA VERAPAZ,COBAN,"LICEO ""MODERNO LATINO""",11 AVENIDA 5-17 ZONA 4,79522555,PATRICIO NAJARRO ASENCIO,HÉCTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0428-46,,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS",77930045,NORA LILIANA FIGUEROA HERNÁNDEZ,HELSON MARCO CHÉN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0471-46,,16-031,ALTA VERAPAZ,COBAN,"COLEGIO DE INFORMATICA ""CENINFAV""",12 AV. 2-12 ZONA 1,79545566,PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0481-46,,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0483-46,,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0558-46,,16-005,ALTA VERAPAZ,COBAN,"INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE ""EMILIO ROSALES PONCE""",3A. AVE. 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0559-46,,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0563-46,,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,PATRICIO NAJARRO ASENCIO,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0565-46,,16-031,ALTA VERAPAZ,COBAN,"INSTITUTO MIXTO PRIVADO ""SALUD Y DESARROLLO""",DIAGNONAL 1 1-26 ZONA 1,51922050,PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-01-0568-46,,16-031,ALTA VERAPAZ,COBAN,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1-06 ZONA 3,79510413,PATRICIO NAJARRO ASENCIO,SILVIA BEATRIZ SOTO CHÉN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0572-46,,16-031,ALTA VERAPAZ,COBAN,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1-13 ZONA 3,79511103,PATRICIO NAJARRO ASENCIO,JAYRON ARIEL COY CACAO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0573-46,,16-031,ALTA VERAPAZ,COBAN,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4-32 ZONA 8,77945181,PATRICIO NAJARRO ASENCIO,LESLY EUGENIA CHOCOOJ VIDAURRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
