CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-0158-46,,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO TECNICO PROGRESISTA CETECPRO,2A. AVENIDA 3-59,22512759,AMADO SALOMON FLORES PEREZ,IRMA AMPARO TOLEDO HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0173-46,,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA,1A CALLE 2-64,22323424,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,INGRID MARIELA ESPINA ORELLANA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0174-46,,01-307,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL,12 AVENIDA 9-27,22322985,NORMA ARACELY PALOMO FRANCO DE DIAZ,FRANCISCO RENÉ CONTRERAS AQUINO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0176-46,,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE BACHILLERATO EN COMPUTACION,3A CALLE 15-45,22202223,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,FREDY HUMBERTO GONZÁLEZ SANTISTEBAN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0178-46,,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES,10A. AVENIDA 9-42,22320914,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ESWIN NOE ROSALES LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0179-46,,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,"10A. AVENIDA 2-24,",58068368,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JULIO CESAR SANTOS CAMPOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0180-46,,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL DE ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,9A CALLE 2-36,42201837,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JULIO ERNESTO GONZÁLEZ HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0183-46,,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL 'CASA CENTRAL',1A AVE. 13-63,22384684,AMADO SALOMON FLORES PEREZ,SILVIA LETICIA PERÉN POYÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0186-46,,01-315,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCIÓN,3A. CALLE 7-64,22329406,AURA MARINA GARRIDO MORALES,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0191-46,,01-318,CIUDAD CAPITAL,ZONA 1,INSTITUTO MIXTO COACTEMALAN,11 CALLE 10-43,22325522,LESLIE AZUCENA MONZON TECUN,NANCY ALEIDA BANCES ARÉVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0192-46,,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO PROFESIONAL DE TÉCNICAS COMERCIALES ESPECIALIZADAS IPTCE,7A AVE. 3-48,22320733,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,MARTA JOSEFINA LARA PANIAGUA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-0197-46,,01-403,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLOGICO GUATEMALA DE LA ASUNCION,3A. CALLE 7-64,54452951,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
