CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0027-46,,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO TECNICO INDUSTRIAL MIXTO GUASTATOYA,BARRIO EL CALVARIO,79450881,CARLA MARLENY ALDANA RODAS,JOSÉ ARTURO LÓPEZ ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0028-46,,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265,CARLA MARLENY ALDANA RODAS,DANIEL LÓPEZ SOLÍS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0031-46,,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO EL PORVENIR,54422753,CARLA MARLENY ALDANA RODAS,ILIANA ARACELY LÁZARO HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0045-46,,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACIÓN MEDIA POR MADUREZ,BARRIO EL PORVENIR,56719955,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAÑEZ MORÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0049-46,,02-021,EL PROGRESO,GUASTATOYA,CENTRO MUNICIPAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-,COLONIA LINDA VISTA,58250827,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,SANDRA PAOLA MORALES GARCÍA,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0054-46,,02-012,EL PROGRESO,GUASTATOYA,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",79451993,CARLOTA EUGENIA ALBUREZ AGUILAR,IRIS ORFELÍ LOAIZA MOSCOSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0061-46,,02-021,EL PROGRESO,GUASTATOYA,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,BARRIO LAS JOYAS CEMENTERIO VIEJO,79637575,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,MARTA ELIDA CARIAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,EL PROGRESO
02-01-0062-46,,02-021,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"BARRIO LAS JOYAS, CEMENTERIO VIEJO",37962236,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,HELLEN CELESTE MARROQUIN CORADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0066-46,,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR",47406758,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0068-46,,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONIA HICHOS BARRIO EL PORVENIR GUASTATOYA,47406758,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0069-46,,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONI A HICHOS,47406758,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0071-46,,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACION MEDIA POR MADUREZ,COLONIA NUEVA VIDA,42353730,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAÑEZ MORÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),EL PROGRESO
02-01-0073-46,,02-014,EL PROGRESO,GUASTATOYA,COLEGIO EDUCARE,BARRIO EL PROVENIR --,77648671,CARLA MARLENY ALDANA RODAS,HERLINDA EUNICE MORALES OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0075-46,,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR GUASTATOYA EL PROGRESO",47406758,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO
02-01-0252-46,,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,79451265,CARLA MARLENY ALDANA RODAS,DANIEL LÓPEZ SOLÍS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0562-46,,02-012,EL PROGRESO,GUASTATOYA,COLEGIO DE APLICACIONES INTEGRADAS GUASTATOYA,BARRIO EL PORVENIR,79450840,CARLOTA EUGENIA ALBUREZ AGUILAR,BRENDA AZUCENA VALIENTE ARREAGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0607-46,,02-012,EL PROGRESO,GUASTATOYA,INSTITUTO DIVERSIFICADO POR COOPERATIVA,BARRIO EL PORVENIR,79452363,CARLOTA EUGENIA ALBUREZ AGUILAR,NINFA GRACIELA MANRIQUEZ CALDERA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0665-46,,02-014,EL PROGRESO,GUASTATOYA,ESCUELA NORMAL DE EDUCACION FISICA,BARRIO EL PORVENIR,79451457,CARLA MARLENY ALDANA RODAS,WALTER OSWALDO MORALES CATALÁN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
02-01-0704-46,,02-014,EL PROGRESO,GUASTATOYA,ESCUELA NORMAL INTERCULTURAL,BARRIO LAS JOYAS,79452399,CARLA MARLENY ALDANA RODAS,MARÍA MAGDALENA LÓPEZ PERDOMO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO
