CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0110-46,,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAÑO Y VILLEGAS,1A AVE. SUR 10-30 ZONA 1,78880048,REMY ARTURO SINAY GUDIEL,CARLOS JOSE RODRIGO RODRIGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0119-46,,05-033,ESCUINTLA,ESCUINTLA,CENTRO ESCOLAR NUESTRA SEÑORA DE CONCEPCION,KM. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA,78881194,REMY ARTURO SINAY GUDIEL,MILTON LAUREANO GONZÁLEZ LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0121-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO EXPERIMENTAL DEL SUR,1A. CALLE 2-38 ZONA 3,31651314,REMY ARTURO SINAY GUDIEL,JUAN ROMEO SUÁREZ CHACÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0126-46,,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGÜE,1A AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LÓPEZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0131-46,,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS',5A AVE 6-61 ZONA 1,,REMY ARTURO SINAY GUDIEL,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0144-46,,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,"3A. AV. 5-52 ZONA 1 ESCUINTLA,",78894544,REMY ARTURO SINAY GUDIEL,NIDIA AMARILIS GALVEZ CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0145-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO NACIONAL DE PERITO EN MERCADOTECNIA Y PUBLICIDAD,4A. AVE. SUR 15-20 ZONA 4,78893272,REMY ARTURO SINAY GUDIEL,MARIELA FLORIBÉL MÉNDEZ MALDONADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0146-46,,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL MIXTA NOCTURNA DE CIENCIAS COMERCIALES,1A AVE. 10-30 ZONA 1,57171570,REMY ARTURO SINAY GUDIEL,LEONEL ARNULFO ORTEGA MORATAYA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA
05-01-0184-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO,78895918,REMY ARTURO SINAY GUDIEL,MARÍA EUGENIA BARRERA BARREDA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0187-46,,05-033,ESCUINTLA,ESCUINTLA,LICEO INTEGRAL DEL SUR,"7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL",78268277,REMY ARTURO SINAY GUDIEL,KIMBERLY KARINA GUZMÁN MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0207-46,,05-033,ESCUINTLA,ESCUINTLA,LICEO EVANGELICO EL EDEN,6A CALLE 1-60 ZONA 3 BARRIO SANTA ANA,41086951,REMY ARTURO SINAY GUDIEL,SANDRA JUDITH COLLADO SOLARES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0231-46,,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ,47691929,REMY ARTURO SINAY GUDIEL,JESSICA JEANNETTE SAGASTUME HICKS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0253-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-28 ZONA 1,78898879,REMY ARTURO SINAY GUDIEL,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0259-46,,05-033,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER FLC,KM. 60 LA FELICIDAD SALIDA A PUERTO SAN JOSÉ ESCUINTLA,78841293,REMY ARTURO SINAY GUDIEL,JESSICA JEANNETTE SAGASTUME HICKS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0263-46,,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGÜE,1RA. AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LÓPEZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0271-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,5A CALLE 5-10 ZONA 3 COLONIA MADRID,50232975,REMY ARTURO SINAY GUDIEL,MIRIAM AZUCENA MARTINEZ GARCIA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0278-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-28 ZONA 1,78898879,REMY ARTURO SINAY GUDIEL,MAYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0280-46,,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO DR. JOSÉ SEVERO MARTÍNEZ,5A. AVENIDA 6-61 ZONA 1,48734181,REMY ARTURO SINAY GUDIEL,EDGAR RAFAEL HURTARTE GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0289-46,,05-033,ESCUINTLA,ESCUINTLA,LICEO FUENTE DE VIDA,LOTE 156 FLORIDO ACEITUNO,56211051,REMY ARTURO SINAY GUDIEL,DIOGENES BAUDILIO FIGUEROA CRUZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0299-46,,05-033,ESCUINTLA,ESCUINTLA,"CENTRO EDUCATIVO Y FORMACION HUMANA ""DE MARÍA""","3A AVENIDA ""A"" 4-48 ZONA 1",42065584,REMY ARTURO SINAY GUDIEL,ERICK IVAN RIVERA MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0307-46,,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO COMERCIAL DE CÓMPUTOS AVANZADOS,4A. AVENIDA 15-94 SUR FINAL,78898958,REMY ARTURO SINAY GUDIEL,NILDA JANETHE IBARRA BARRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0308-46,,05-033,ESCUINTLA,ESCUINTLA,COLEGIO BILINGÜE JARDÍN AMERICANO,"3A CALLE SECTOR B LOTE 21, COLONIA JACARANDAS 1, ZONA 3",78898449,REMY ARTURO SINAY GUDIEL,CLAUDIA ARGENTINA JIMÉNEZ PRADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0309-46,,05-033,ESCUINTLA,ESCUINTLA,"LICEO PREUNIVERSITARIO ""CIENCIA Y TECNOLOGÍA""",6TA. AVE. 2-52 ZONA 1,51230832,REMY ARTURO SINAY GUDIEL,SILVIA YANIRA MELENDEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0310-46,,05-033,ESCUINTLA,ESCUINTLA,"LICEO PREUNIVERSITARIO ""CIENCIA Y TECNOLOGÍA""",6TA. AVE. 2-52 ZONA 1,51230832,REMY ARTURO SINAY GUDIEL,SILVIA YANIRA MELENDEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0312-46,,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO CON COMPUTACIÓN EL QUETZAL,"3A. CALLE 3-95 ZONA 2, COLONIA EL QUETZAL",78881070,REMY ARTURO SINAY GUDIEL,MARIANELA ECHEVERRÍA TRIGUEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
