CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-02-0012-46,,01-502,GUATEMALA,SANTA CATARINA PINULA,LICEO INTEGRAL DE ENSEÑANZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN",58543592,JULIA ENECON ROCA MORAN,JOSÉ ADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0013-46,,01-405,GUATEMALA,SANTA CATARINA PINULA,LICEO INTEGRAL DE ENSEÑANZA COMERCIAL,"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN",66373741,BLANCA SARAI GUTIERREZ PINEDA,JOSÉ ADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE
01-02-0022-46,,01-510,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,6A. AVENIDA 1-10 ZONA 1,23660520,ZOILA ESPERANZA CAMEY ATZ,EDGAR EFRAÍN RAFAEL MARTÍNEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0034-46,,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO BILINGUE INTEGRIDAD (INTEGRITY),"ALDEA DON JUSTO KILOMETRO 16.5 CARRETERA A SAN JOSE PINULA, CASERIO LA LAGUNETA,",66371400,LIGIA DEL ROSARIO RICCI VELASQUEZ,MARÍA VERÓNICA AUYÓN OCAMPO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0036-46,,01-502,GUATEMALA,SANTA CATARINA PINULA,LICEO INTEGRAL DE ENSEÑANZA COMERCIAL -LIEC-,"SECTOR LOS TRES REYES, LOTE 5""E"" ZONA 7 ALDEA EL PAJÓN",58543592,JULIA ENECON ROCA MORAN,JOSÉ ADOLFO ESPINOZA MORATAYA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0038-46,,01-644,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO NACIONAL DE EDUCACIÒN DIVERSIFICADA,"KM.14.5 CARRETERA A EL SALVADOR,ALDEA PUERTA PARADA.",66339586,LIGIA DEL ROSARIO RICCI VELASQUEZ,THELMA YOLANDA MADRID CACHIN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0039-46,,01-510,GUATEMALA,SANTA CATARINA PINULA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA CUCHILLA DEL CARMEN,41664195,ZOILA ESPERANZA CAMEY ATZ,SANDRA ELIZABETH GOMEZ MORALES,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0043-46,,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO VALLE VERDE CES,"KILOMETRO 17.5 CARRETERA A EL SALVADOR, FINCA LA ESPERANZA, LOTE 1 ZONA 8",66242280,LIGIA DEL ROSARIO RICCI VELASQUEZ,EDWIN ROLANDO FLORIÁN RAMÍREZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0048-46,,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO TECNOLOGICO SINAI,"LOTE 88 ""A"" ZONA 6 ALDEA PIEDRA PARADA CRISTO REY",66455922,LIGIA DEL ROSARIO RICCI VELASQUEZ,RONAL ALEXANDER BARRIOS PAZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0049-46,,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO KING DAVID,"KILOMETRO 18.5 CARRETERA A EL SALVADOR, ALDEA EL CANCHON LA LABOR DE MONZON, L. 3, Z. 8.",66611170,JULIA ENECON ROCA MORAN,DORA LILI MORALES CASTILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
