CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-01-0065-46,,13-004,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NORMAL MIXTO ALEJANDRO CORDOVA,6A AVE. A 10-59 ZONA 1,77641157,CLARA ARMIDA MORALES CASTILLO,ADELA MARÍA CALDERON CANO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0068-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO DE LA SALLE,10A AVE. 10-00 ZONA 1,54142119,REYNALDO RECINOS CASTILLO,OSCAR FERNANDO MARTÍNEZ TELLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0069-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,"COLEGIO EVANGELICO MIXTO "" LA AURORA""",5A. CALLE 5-47 ZONA 1,77641328,REYNALDO RECINOS CASTILLO,DAILY RUSBÍ GONZÁLEZ RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0079-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,"LICEO EVANGELICO ""EL ALBA""",6A AVENIDA 9-17 ZONA 1,77682352,REYNALDO RECINOS CASTILLO,JOSÉ RAÚL MARTÍNEZ XUTUC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0112-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,9º. CALLEJÓN ¿B¿ 12-94 ZONA 4 SECTOR LOS OLIVOS ¿EL TERRERO¿,40124127,REYNALDO RECINOS CASTILLO,HUGO RUBÉN GÓMEZ GÓMEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0143-46,,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO DE INFORMATICA,"4A. AVENIDA 1-30, ZONA 1",77648784,CLARA ARMIDA MORALES CASTILLO,NIVEA MARINA RIVAS GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0145-46,,13-004,HUEHUETENANGO,HUEHUETENANGO,LICEO PREUNIVERSITARIO DE INFORMATICA,4 AVENIDA 1-30 ZONA 1,77648784,CLARA ARMIDA MORALES CASTILLO,NIVEA MARINA RIVAS GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,HUEHUETENANGO
13-01-0156-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,COLEGIO SAN FRANCISCO JAVIER DE HUEHUETENANGO,CORRAL CHIQUITO ZONA 8,77208400,REYNALDO RECINOS CASTILLO,CLEYDI MARISOL CALDERÓN COBÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0158-46,,13-004,HUEHUETENANGO,HUEHUETENANGO,COLEGIO PREUNIVERSITARIO CAMBRIDGE,1RA. CALLE ZONA 8,77252793,CLARA ARMIDA MORALES CASTILLO,ANA RENEÉ MAURICIO DOMÍNGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0177-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,"COLEGIO EVANGÉLICO MIXTO ""LA HERMOSA""",SECTOR BRASILIA ZONA 7,77252364,REYNALDO RECINOS CASTILLO,MITZY MARTIELA CAMPOS GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-01-0181-46,,13-050,HUEHUETENANGO,HUEHUETENANGO,"CENTRO EDUCATIVO A ""DISTANCIA AULA VIRTUAL""",2A. AV. 1-115 ZONA 3,77259211,REYNALDO RECINOS CASTILLO,OLIVER BOANERGES RECINOS RECINOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),HUEHUETENANGO
