CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0041-46,,18-007,IZABAL,PUERTO BARRIOS,ESCUELA NACIONAL MIXTA DE CIENCIAS COMERCIALES DOMINGO JUARROS,14 CALLE Y 11 AVENIDA,79480444,EDVIN ADOLFO MORATAYA MENJIVAR,EDWIN NATALIO MARMOL LOAIZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0042-46,,18-008,IZABAL,PUERTO BARRIOS,"ESCUELA PARTICULAR MIXTA ""JUSTO RUFINO BARRIOS""",8A AVENIDA ENTRE 17 Y 18 CALLES,79487032,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARIO RENÉ JUÁREZ SALGUERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0045-46,,18-008,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO CRISTO REY,10A CALLE ENTRE 8A Y 9A AVENIDAS,79488225,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,JAVIER ESTUARDO LÓPEZ TOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0145-46,,18-008,IZABAL,PUERTO BARRIOS,"COLEGIO CRISTIANO PRIVADO MIXTO ""CRISTO VIENE""",ALDEA ENTRE RIOS,40620273,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,GRICELDA MAGALY LEMUS CALDERON,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0158-46,,18-008,IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""PIEDRAS NEGRAS""","COLONIA PIEDRAS NEGRAS, SANTO TOMAS DE CASTILLA",79453597,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,LASTENIA CARÍAS SAMAYOA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0162-46,,18-008,IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""PIEDRAS NEGRAS""","COLONIA PIEDRAS NEGRAS, SANTO TOMÁS DE CASTILLA",79484391-41051885,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,LASTENIA CARÍAS SAMAYOA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL
18-01-0164-46,,18-008,IZABAL,PUERTO BARRIOS,LICEO TECNICO GUATEMALTECO IDETI,ALDEA PLACA NO. 1,57843058,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,DAISY LORENA AGUIRRE VENTURA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0168-46,,18-008,IZABAL,PUERTO BARRIOS,"COLEGIO CRISTIANO ""MARANATHA""",7A. AVENIDA ENTRE 16A. Y 17A. CALLES,79429136,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARÍA ANTONIA OSORIO OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0173-46,,18-007,IZABAL,PUERTO BARRIOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,COLONIA SAN MANUEL,79480444,EDVIN ADOLFO MORATAYA MENJIVAR,ELIA ERSELI FRANCO CALDERÓN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0174-46,,18-007,IZABAL,PUERTO BARRIOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,COLONIA MARIA LUISA I,79484363,EDVIN ADOLFO MORATAYA MENJIVAR,ROSA ORFILIA ESQUIVEL AVILA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
