CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
14-01-0077-46,,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSE OSCAR TIPAZ VELASQUEZ,ARAM ALBERT JORDAN SANDOVAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0079-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERRÍA GIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0085-46,,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77553814,JOSE OSCAR TIPAZ VELASQUEZ,MIRIAM MARCELINA ALVAREZ GRIJALVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0090-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""Q´IJ""",11A. CALLE 06-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERNÁNDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0108-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TECNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,GONZALO VENTURA LUX,JACQUELINE ARGENTINA SOLARES MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0112-46,,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE OSCAR TIPAZ VELASQUEZ,JUSTO RUFINO PEREIRA GONZÁLEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0115-46,,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JOSE OSCAR TIPAZ VELASQUEZ,JORGE HUMBERTO MOTTA CANO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0163-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO EVANGELICO METODISTA ""JOHN WESLEY""",6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,GONZALO VENTURA LUX,KARIN ROSALVA SOLÓRZANO PAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0166-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,PEM. SILVIA EMILIANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0167-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO MULTIEDUCATIVO ""LA REFORMA""",16 CALLE 7-34 ZONA 4,77563633,GONZALO VENTURA LUX,CARLOS ROBERTO ARRIAGA DEL VALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0181-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO MIXTO CIENCIA Y CULTURA,"1A. CALLE 13-41, ZONA 2",77563487,GONZALO VENTURA LUX,IBERTO DE LEÓN ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0186-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,11 CALLE 6-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERNÁNDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0189-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGUE INTERCULTURAL Q IJ,11 CALLE 6-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERNÁNDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,A DISTANCIA,QUICHÉ
14-01-0199-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO NUESTRA SEÑORA DEL ROSARIO,SANTA CRUZ DEL QUICHE,77552429,GONZALO VENTURA LUX,ESPERANZA SÁNCHEZ CORTÉZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0230-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO SAN FRANCISCO JAVIER DE QUICHÉ,KILOMETRO 166.9 ALDEA EL CARMEN CHITATUL,79638520,GONZALO VENTURA LUX,GLENDA FAVIOLA VICENTE ZAPETA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0231-46,,14-001,QUICHE,SANTA CRUZ DEL QUICHE,ESCUELA NORMAL BILINGÜE INTERCULTURAL K´ ICHE´ TIJOB´ ÄL UTÜX MAYAB´ WINÄQ OXLAJUJ TZ´ I´,"CASERIO BUENA VISTA, XATINAP V",77563721,JOSE OSCAR TIPAZ VELASQUEZ,FRANCISCO TZOC MEJÍA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0236-46,,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO TÉCNICO DE NIVEL MEDIO,"20 CALLE FINAL DE LA ZONA CUATRO, COLONIA LOS CELAJES",46547266,JOSE OSCAR TIPAZ VELASQUEZ,MARÍA ODILIA RAMÍREZ VENTURA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0249-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO TÉCNICO INDUSTRIAL QUICHÉ,"2A. AVENIDA ""A"" 14-224, ZONA 2",77563722,GONZALO VENTURA LUX,MARIO EDWIN MALDONADO FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ
14-01-0255-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"INSTITUTO PRIVADO TÉCNICO INDUSTRIAL ""QUICHÉ""","2A. AVENIDA ""A"" 14-224, ZONA 2",77563722,GONZALO VENTURA LUX,MARIO EDWIN MALDONADO FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ
14-01-0257-46,,14-037,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,"10A. AVENIDA Y 3A, CALLE ZONA 3",44988120,ANGELINA LUX MENDOZA DE PUAC,KEVIN RONAL MEDRANO LAINES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ
14-01-0265-46,,14-037,QUICHE,SANTA CRUZ DEL QUICHE,PROGRAMA NACIONA DE EDUCACIÓN ALTERNATIVA -PRONEA-,"2A. AV. 1-4 ZONA 1, QUICHÉ",59995997,ANGELINA LUX MENDOZA DE PUAC,ELMER CECILIO RAMOS LÓPEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,QUICHÉ
14-01-0267-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO VIRTUAL ""QUICHÉ""",11 CALLE 11-209 ZONA 4,40086988,GONZALO VENTURA LUX,JUAN JOSÉ DE LEÓN LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,VIRTUAL A DISTANCIA,QUICHÉ
14-01-0269-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"INSTITUTO PRIVADO MIXTO ""CIENCIA Y CULTURA""",1A. CALLE 13-41 ZONA 2,77563487,GONZALO VENTURA LUX,IBERTO DE LEÓN ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUICHÉ
14-01-0270-46,,14-037,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR HUNAHPÚ E IXBALANQUÉ -COEEX-,CENTRO PREVENTIVO PARA HOMBRES 1A. CALLE ESQUINA ZONA 1,40178152,ANGELINA LUX MENDOZA DE PUAC,GABRIEL MAQUÍN YAT,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,QUICHÉ
14-01-0271-46,,14-037,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-,"CANTÓN PACHÓ, ALDEA LEMÓA",59655416,ANGELINA LUX MENDOZA DE PUAC,JUAN CARLOS CHACAJ TOÑO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,FIN DE SEMANA,QUICHÉ
14-01-0273-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHÉ,"2DA. AVENIDA 6-27, ZONA 5",77551705,GONZALO VENTURA LUX,PEM. SILVIA EMILIANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUICHÉ
14-01-0275-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,"COLEGIO EJECUTIVO PRE-UNIVERSITARIO EN COMPUTACIÓN ""CLASSE""","8A. CALLE ""A"" 0-98, ZONA 6",77563714,GONZALO VENTURA LUX,ERVIN WALDEMAR VELÁSQUEZ BATEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUICHÉ
14-01-0276-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO DE FORMACIÓN INTEGRAL DISCÍPULOS DE JESÚS,"MANZANA A, LOTES 5 Y 6 BOSQUES DE VILLA VALERIA, ZONA 3",77552313,GONZALO VENTURA LUX,THELMA KARINA QUIÑÓNEZ RODAS DE RODRÍGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ
14-01-0278-46,,14-037,QUICHE,SANTA CRUZ DEL QUICHE,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"2A. AVENIDA 1-04, ZONA 1",31174739,ANGELINA LUX MENDOZA DE PUAC,JOEL NEHEMIAS NIX CHAN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,QUICHÉ
14-01-0279-46,,14-036,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO PRIVADO TÉCNICO INDUSTRIAL QUICHÉ,"2A. AVENIDA 14-224, ZONA 2",77563722,GONZALO VENTURA LUX,MARIO EDWIN MALDONADO FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUICHÉ
