CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
11-01-0027-46,,11-017,RETALHULEU,RETALHULEU,"CENTRO EDUCATIVO ""JUAN PABLO II""","7A. CALLE 4-47, ZONA 1",77710490,MIGUEL ANGEL ARMAS ROCHA,PEDRO EDUARDO CHAVEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-01-0074-46,,11-004,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO D ANTONI,2A CALLE 3-02 ZONA 5 COLONIA MARIA TERESA,57457838,MIGUEL ANGEL ARMAS ROCHA,LUDIM CELESTINA MÉNDEZ PÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0076-46,,11-014,RETALHULEU,RETALHULEU,INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION,1A AVE. 4-08 ZONA 2,77712637,JULIO CÉSAR HERRERA ROLDÁN,CARLOS HUMBERTO SOLOGAISTOA MONTERROSO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0078-46,,11-016,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO RETALTECO,3A AVE. 6-49 ZONA 1,77716637,MARIO RENE RIVERA ARGUETA,,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU
11-01-0080-46,,11-004,RETALHULEU,RETALHULEU,COLEGIO MIXTO RETALHULEU,6A AVE. 3-40 ZONA 1,77710086,MIGUEL ANGEL ARMAS ROCHA,JULIO CÉSAR HERRERA ROLDAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0081-46,,11-014,RETALHULEU,RETALHULEU,INSTITUTO NORMAL MIXTO CARLOS DUBON,3A CALLE 6-49 ZONA 4,56334519,JULIO CÉSAR HERRERA ROLDÁN,SERGIO RAMÓN LÓPEZ SOLÍS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0082-46,,11-014,RETALHULEU,RETALHULEU,INSTITUTO NACIONAL MIXTO NOCTURNO DE EDUCACION MEDIA,3A CALLE 6-49 ZONA 4,53494788,JULIO CÉSAR HERRERA ROLDÁN,JUAN DE DIOS RODAS HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU
11-01-0084-46,,11-004,RETALHULEU,RETALHULEU,"CENTRO EDUCATIVO ""JUAN PABLO II""","7A. CALLE 4-47, ZONA 1",77710490,MIGUEL ANGEL ARMAS ROCHA,PEDRO EDUARDO CHAVEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0101-46,,11-014,RETALHULEU,RETALHULEU,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CENTRO URBANO PARCELAMIENTO CABALLO BLANCO,36241279,JULIO CÉSAR HERRERA ROLDÁN,EMERSON IVAN GRIJALVA CORONADO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0110-46,,11-019,RETALHULEU,RETALHULEU,INSTITUTO TECNICO DE CAPACITACION Y PRODUCTIVIDAD -INTECAP-,KM. 192 CARRETERA A CHAMPERICO,76008600,LISBETH SURAMA LOPEZ CALVILLO,ERNESTO JOAQUÍN LÓPEZ SARTI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),RETALHULEU
11-01-0120-46,,11-017,RETALHULEU,RETALHULEU,COLEGIO CENTRO EDUCATIVO RETALTECO DE FORMACION INTEGRAL,8A. AVENIDA. 8-01 ZONA 1,59842385,MIGUEL ANGEL ARMAS ROCHA,JORGE LUIS DÍAZ DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-01-0126-46,,11-004,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,5A. AVENIDA 6-49 ZONA 1,,MIGUEL ANGEL ARMAS ROCHA,MIGUEL ANGEL PISQUIY QUIXTAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU
11-01-0127-46,,11-004,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,5A. AVENIDA 6-49 ZONA 1,,MIGUEL ANGEL ARMAS ROCHA,MIGUEL ANGEL PISQUIY QUIXTAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU
11-01-0133-46,,11-017,RETALHULEU,RETALHULEU,COLEGIO MIXTO IDEAS,"9A. AVENIDA A, 2-05 RESIDENCIALES ANA LUCIA, ZONA 4",77713771,MIGUEL ANGEL ARMAS ROCHA,ABRAHAM ISAÍAS VELÁSQUEZ LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-01-0137-46,,11-017,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO MIXTO POETA EDUARDO ORELLANA MATTA,"LOTIFICACION PERU, ZONA 4",30931824,MIGUEL ANGEL ARMAS ROCHA,SILVIA RODRÍGUEZ CAYAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-01-0140-46,,11-017,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ DESARROLLO INTEGRADOR,"3A. CALLE 6-49, ZONA 1",,MIGUEL ANGEL ARMAS ROCHA,LUIS ROBERTO ANGEL ALDANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
11-01-0142-46,,11-017,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,5A. AVENIDA 6-49 ZONA 1,,MIGUEL ANGEL ARMAS ROCHA,MIGUEL ANGEL PISQUIY QUIXTÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU
