CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
12-01-0048-46,,12-001,SAN MARCOS,SAN MARCOS,"INSTITUTO NORMAL MIXTO DE OCCIDENTE ""JUSTO RUFINO BARRIOS""",10A. AVENIDA 8-27 ZONA 3,77601385,ENIO RELMAN MALDONADO SOLIS,NELSON DE JESÚS BAUTISTA LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0049-46,,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3A. AVENIDA 11-154 ZONA 1,44974285,ENIO RELMAN MALDONADO SOLIS,JOSÉ JONATÁN MÉNDEZ ACEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0050-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""",6A. AVENIDA 4-92 ZONA 2,77604147,HELIUV EDILZAR VASQUEZ NAVARRO,SOR CAROLINA PATRICIA MARTÍNEZ TRUJILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0053-46,,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,77601164,JORGE EBERTO SOLORZANO SANCHEZ,MAGNOLIA ROSALETT CIFUENTES BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0078-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""","12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",77679743,HELIUV EDILZAR VASQUEZ NAVARRO,BRENDY LUCRECIA VÁSQUEZ VELÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0085-46,,12-063,SAN MARCOS,SAN MARCOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA LAS LAGUNAS,31110226,HELIUV EDILZAR VASQUEZ NAVARRO,ACSA ABIGAIL ARGUETA VICENTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0096-46,,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",1A. CALLE CALLEJÓN LA ALBORADA 1-85 ZONA 4.,77249743,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0100-46,,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3AV. 11-154 ZONA 1,44974285,ENIO RELMAN MALDONADO SOLIS,JOSÉ JONATÁN MÉNDEZ ACEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0105-46,,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",1A. CALLE CALLEJÓN LA ALBORADA1-85 ZONA 4.,77249743,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0115-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,41508727,HELIUV EDILZAR VASQUEZ NAVARRO,EDIT ORFA VÁSQUEZ OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0120-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PREUNIVERSITARIO ""GALILEO""",12 AVENIDA 3-33 ZONA 4 CANTON SANTO DOMINGO,77679743,HELIUV EDILZAR VASQUEZ NAVARRO,BRENDY LUCRECIA VÁSQUEZ VELÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0131-46,,12-001,SAN MARCOS,SAN MARCOS,COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACION CETESC,ALDEA SAN SEBASTIAN,57784639,ENIO RELMAN MALDONADO SOLIS,REYNA HUBERLINDA ANGEL DE LEÓN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0132-46,,12-100,SAN MARCOS,SAN MARCOS,"INSTITUTO PRIVADO MIXTO ""SAN CARLOS""",1A. CALLE CALLEJÓN LA ALBORADA 1-85 ZONA 4.,77249743,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0133-46,,12-100,SAN MARCOS,SAN MARCOS,ESCUELA DE CIENCIAS Y LETRAS DE SAN MARCOS,ALDEA LAS LAGUNAS,49713703,JORGE EBERTO SOLORZANO SANCHEZ,ANITA DEL CARMEN RAMOS LÓPEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0144-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""",5TA. CALLE 9-38 ZONA 4,77609611,HELIUV EDILZAR VASQUEZ NAVARRO,DELIA MAEGLI DE LEÓN OVALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS
12-01-0145-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO ""SAN MARCOS""","6A. AVENIDA 4-92, ZONA 2",77604147,HELIUV EDILZAR VASQUEZ NAVARRO,SOR CAROLINA PATRICIA MARTÍNEZ TRUJILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0146-46,,12-063,SAN MARCOS,SAN MARCOS,COLEGIO LA ASUNCIÓN,"5A. CALLE FINAL 15-575 ZONA 5 SAN MARCOS, SAN MARCOS",77605316,HELIUV EDILZAR VASQUEZ NAVARRO,ROSALINA TEODORA BAQUIAX VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0151-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",7A. CALLE 12-99 ZONA 4,77603740,HELIUV EDILZAR VASQUEZ NAVARRO,EDIT ORFA VÁSQUEZ OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0155-46,,12-100,SAN MARCOS,SAN MARCOS,"COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""",ALDEA SAN ANTONIO SERCHIL,50015525,JORGE EBERTO SOLORZANO SANCHEZ,ARGENIS OLIMPIA NAVARRO LÓPEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0158-46,,12-063,SAN MARCOS,SAN MARCOS,COLEGIO BILINGÜE JUAN PABLO SEGUNDO,6TA. CALLE 15-153 ZONA 4,77259502,HELIUV EDILZAR VASQUEZ NAVARRO,PATRICIA ELIZABETH ROLDAN OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS
12-01-0159-46,,12-063,SAN MARCOS,SAN MARCOS,COLEGIO BILINGÜE JUAN PABLO SEGUNDO,6TA. CALLE 15-153 ZONA 4,77259502,HELIUV EDILZAR VASQUEZ NAVARRO,PATRICIA ELIZABETH ROLDAN OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0166-46,,12-100,SAN MARCOS,SAN MARCOS,COLEGIO MIXTO EVANGÉLICO CASA DE JEHOVÁ,5TA CALLE 14-42 ZONA 5,56934853,JORGE EBERTO SOLORZANO SANCHEZ,MARÍA LORENA MONTÚFAR BOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0168-46,,12-063,SAN MARCOS,SAN MARCOS,"ESCUELA CRISTIANA ""PALABRA EN ACCIÓN""",16 AVENIDA 5-63 ZONA 5,38880527,HELIUV EDILZAR VASQUEZ NAVARRO,JOSÉ VÍCTOR NAVARRO MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
12-01-0169-46,,12-063,SAN MARCOS,SAN MARCOS,"COLEGIO BILINGÜE ""ADVANCE""",5TA. CALLE 5-81 ZONA 2,77602870,HELIUV EDILZAR VASQUEZ NAVARRO,YESENIA AZUCENA GÓMEZ ROMERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS
