CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
06-01-0039-46,,06-001,SANTA ROSA,CUILAPA,"ESCUELA NACIONAL DE CIENCIAS COMERCIALES ""PROFESOR JORGE HUGO BARILLAS MÉNDEZ",LOTIFICACION BELLA VISTA EL CALVARIO,42997568,IRMA YOLANDA CHACON ARROYO,CARLA SELENE FORTUNY HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0069-46,,06-001,SANTA ROSA,CUILAPA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"LOTIFICACION BELLA VISTA, BARRIO EL CALVARIO",58560517,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0091-46,,06-001,SANTA ROSA,CUILAPA,"COLEGIO TECNOLOGICO MODERNO ""NUESTRA SEÑORA DE LA ASUNCION""","ALDEA GUACAMAYAS, VILLA LAURA",41064795,IRMA YOLANDA CHACON ARROYO,JULIO HILARIO SÁNCHEZ CARRILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0099-46,,06-001,SANTA ROSA,CUILAPA,ESCUELA NORMAL INTERCULTURAL,"LOTIFICACIÓN BELLA VISTA, BARRIO EL CALVARIO",78865480,IRMA YOLANDA CHACON ARROYO,ANGELA RAQUEL DIVAS QUEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0105-46,,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- ""COOPERATIVA EL RECUERDO""",CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1,78866063,JORGE BALDOMERO GONZALEZ BARRERA,ALEYDA MARGARITA MONTENEGRO HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-01-0107-46,,06-001,SANTA ROSA,CUILAPA,"COLEGIO PARTICULAR MIXTO ""DIVINO NIÑO""",COLONIA LAS VICTORIAS,59495525,IRMA YOLANDA CHACON ARROYO,LISBETH CAROLINA SEN CASÚN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA
06-01-0110-46,,06-039,SANTA ROSA,CUILAPA,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","4A. CALLE 2-55 ZONA 4, BARRIO EL LLANITO, CUILAPA, SANTA ROSA",30060201,JORGE BALDOMERO GONZALEZ BARRERA,JORGE BALDOMERO GONZÁLEZ BARRERA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,SANTA ROSA
06-01-0116-46,,06-039,SANTA ROSA,CUILAPA,"CENTRO DE EDUCACIÓN EXTRAESCOLAR ""SANTA ROSITA""","KILOMETRO 65.5 CARRETERA A EL SALVADOR ALDEA LOS ESCLAVOS CENTRO DE DETENCION PREVENTIVA ""EL BOQUERON""",30157695,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
06-01-0118-46,,06-039,SANTA ROSA,CUILAPA,"""CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL""","4A. CALLE 2-55, ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA",78865585,JORGE BALDOMERO GONZALEZ BARRERA,MARTA JULIA BARRERA BARRERA DE ALVAREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SANTA ROSA
06-01-0119-46,,06-001,SANTA ROSA,CUILAPA,"COLEGIO CATÓLICO ECO-TECNOLÓGICO ""SAGRADO CORAZON DE JESÚS""","EL BOQUERÓN, KILÓMETRO 66",35702888,IRMA YOLANDA CHACON ARROYO,JUANA MARÍA TELLO GARCÍA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA
