CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0059-46,,07-003,SOLOLA,SOLOLA,"LICEO TECNOLÓGICO BILINGÜE ""CUAUHTEMALLAN DE SOLOLA""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0061-46,,07-003,SOLOLA,SOLOLA,"LICEO TECNOLÓGICO BILINGÜE ""CUAUHTEMALLAN DE SOLOLA""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SOLOLÁ
07-01-0096-46,,07-019,SOLOLA,SOLOLA,COLEGIO MONTE SION,6A. AVENIDA 8-07 ZONA 2 BARRIO EL CALVARIO,77623832,ESTELA BEN AJCALÓN DE TUY,JOSÉ DAVID TZAY PUÁC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0106-46,,07-019,SOLOLA,SOLOLA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,5TA. CALLE 0-37 BARRIO SAN ANTONIO,32442607,ESTELA BEN AJCALÓN DE TUY,LINCY MARÍA TIU GARCÍA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0121-46,,07-004,SOLOLA,SOLOLA,CENTRO EDUCATIVO DE FORMACIÓN PROFESIONAL -CEFPRO-,"CASERÍO COXOM, ALDEA SAN JUAN ARGUETA",59356919,VÍCTOR MIGUEL MENCHÚ MENCHÚ,ELIAS MIGUEL ROSALES TAHAY,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ
07-01-0124-46,,07-003,SOLOLA,SOLOLA,"LICEO TECNOLÓGICO BILINGÜE ""CUAUHTEMALLAN DE SOLOLÁ""","CASERÍO CAYALÁ, ALDEA EL TABLÓN",35923669,VÍCTOR CHUMIL CHIROY,MOISES GUARCAX CHIROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ
07-01-0144-46,,07-019,SOLOLA,SOLOLA,"COLEGIO CIENTIFICO ""MONTESSORI""","9A. CALLE 8-81 ZONA 2, BARRIO EL CALVARIO",77623427,ESTELA BEN AJCALÓN DE TUY,YOVANY ISRAEL ROSALES CORZO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0152-46,,07-003,SOLOLA,SOLOLA,"LICEO PROFESIONAL ""LAS AMERICAS""","CASERÍO CENTRAL, CANTÓN EL TABLÓN",77624703,VÍCTOR CHUMIL CHIROY,CAMILIO YAXÓN COSIGUÁ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SOLOLÁ
07-01-0158-46,,07-002,SOLOLA,SOLOLA,INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,"CASERÍO CENTRAL, ALDEA PIXABAJ",45684531,CARLOS RIGOBERTO POS TUY,SEBASTIAN TUN TUN,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0162-46,,07-004,SOLOLA,SOLOLA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA CHAQUIJYÁ,"CASERÍO COOPERATIVA, ALDEA CHAQUIJYÁ",44554930,VÍCTOR MIGUEL MENCHÚ MENCHÚ,VÍCTOR SALOJ YAXÓN,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SOLOLÁ
